                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.6589,                 2.8826,                 2.4897,                0.88824,                      1,                  0.995,                  0.796,                 0.7539,                 3.6044,                 1.3881,             0.00066452,             0.00066452,             0.00066452
                     37,                 1.4869,                 2.8741,                 2.3996,                0.96892,                      1,                  0.995,                  0.796,                 0.8379,                 6.4223,                 1.5167,             0.00066311,             0.00066311,             0.00066311
                     38,                 1.5137,                 2.9102,                 2.3516,                0.95481,                      1,                  0.995,                  0.796,                 1.2646,                  8.892,                 2.0966,             0.00066169,             0.00066169,             0.00066169
                     39,                 1.3173,                  2.748,                 2.2413,                      1,                      1,                  0.995,                  0.796,                0.79325,                 2.1698,                 1.6046,             0.00066028,             0.00066028,             0.00066028
                     40,                 1.3827,                  2.625,                 2.2575,                0.81674,                      1,                  0.995,                  0.796,                 0.8308,                 2.1427,                 1.5945,             0.00065886,             0.00065886,             0.00065886
                     41,                 1.3358,                 2.5543,                 2.2546,                0.76663,                      1,                  0.995,                 0.8955,                 0.6857,                 2.1094,                 1.4418,             0.00065745,             0.00065745,             0.00065745
                     42,                 1.3328,                 2.7443,                 2.2895,                      1,                      1,                  0.995,                 0.8955,                0.67496,                 2.9683,                 1.5263,             0.00065604,             0.00065604,             0.00065604
                     43,                 1.2743,                 2.6428,                 2.1983,                      1,                      1,                  0.995,                  0.796,                0.94728,                 2.7459,                 1.5425,             0.00065462,             0.00065462,             0.00065462
                     44,                 1.2353,                 2.5303,                 2.1221,                      1,                      1,                  0.995,                 0.8955,                0.59541,                 2.5003,                 1.3469,             0.00065321,             0.00065321,             0.00065321
                     45,                 1.2962,                 2.6572,                 2.1174,                    0.5,                      1,                  0.995,                 0.8955,                0.60637,                 3.0887,                 1.4799,              0.0006518,              0.0006518,              0.0006518
                     46,                 1.3936,                 2.6195,                 2.2051,                      1,                      1,                  0.995,                 0.8955,                0.74847,                 3.2124,                 1.6542,             0.00065038,             0.00065038,             0.00065038
                     47,                 1.2623,                 2.5878,                 2.1101,                0.92771,                      1,                  0.995,                  0.796,                0.85742,                 1.9347,                  1.524,             0.00064897,             0.00064897,             0.00064897
                     48,                  1.316,                 2.6243,                 2.1241,                0.96464,                      1,                  0.995,                  0.796,                 1.0485,                 1.7057,                  1.669,             0.00064756,             0.00064756,             0.00064756
                     49,                 1.1608,                 2.4112,                 2.0605,                0.96718,                      1,                  0.995,                 0.8955,                0.66506,                 2.7823,                 1.3083,             0.00064614,             0.00064614,             0.00064614
                     50,                 1.2003,                 2.4819,                 2.0084,                0.96595,                      1,                  0.995,                  0.796,                0.75601,                 3.3091,                 1.2396,             0.00064473,             0.00064473,             0.00064473
                     51,                 1.0689,                 2.3067,                 1.9443,                 0.8996,                      1,                  0.995,                 0.8955,                0.73718,                 2.2072,                 1.2013,             0.00064331,             0.00064331,             0.00064331
                     52,                 1.1708,                 2.4561,                 2.0225,                0.60346,                      1,                  0.995,                  0.995,                0.57524,                 2.3366,                 1.3324,              0.0006419,              0.0006419,              0.0006419
                     53,                 1.0769,                 2.3104,                  1.969,                      1,                      1,                  0.995,                  0.995,                  0.625,                 3.1256,                 1.5385,             0.00064049,             0.00064049,             0.00064049
                     54,                  1.111,                 2.4328,                 1.9564,                      1,                      1,                  0.995,                  0.995,                0.55256,                 3.1241,                 1.3029,             0.00063907,             0.00063907,             0.00063907
                     55,                  1.069,                 2.4167,                 1.9705,                      1,                      1,                  0.995,                 0.8955,                 0.4796,                 2.4217,                 1.1029,             0.00063766,             0.00063766,             0.00063766
                     56,                 1.0691,                  2.411,                 1.9764,                0.80699,                      1,                  0.995,                  0.995,                0.45624,                 2.2035,                 1.1395,             0.00063625,             0.00063625,             0.00063625
                     57,                  1.107,                 2.2841,                 1.9335,                0.78634,                      1,                  0.995,                 0.8955,                0.54684,                 2.1473,                 1.2165,             0.00063483,             0.00063483,             0.00063483
                     58,                 1.0724,                 2.3539,                 1.9043,                0.67773,                      1,                  0.995,                  0.796,                0.66021,                 2.2317,                 1.3596,             0.00063342,             0.00063342,             0.00063342
